Nama Obat,Harga Jual 1,Jenis Obat,Deskripsi
OXOFERIN,"90,000.00",RESEP DOKTER,"Obat ini digunakan untuk luka terinfeksi, penyembuhan luka yang lambat sesudah traumatik atau sesudah operasi, ulkus dekubitus, ulkus kaki kronis pada insufisiensi vena, ulkus dan luka akibat aliran darah arteri, mikroangiopati akibat diabetes atau akibat kelainan, ulkus dibetik, ganggren serta luka bakar."
OPISTAN,"5,500.00",RESEP DOKTER,"Meredakan nyeri ringan sampai sedang sehubungan dengan sakit kepala, sakit gigi, dismenore primer, termasuk nyeri karena trauma, nyeri otot dan nyeri sesudah operasi."
ORPHEN,"1,500.00",BEBAS,"Obat ini digunakan untuk mengatasi gejala alergi seperti pilek, bersin-bersin, mata berair, gatal pada mata, hidung, tenggorokan atau kulit."
OMEZYRTEKS,"6,000.00",RESEP DOKTER,Omezyrteks mengandung Cetirizine HCl yang digunakan untuk meringankan gejala-gejala alergi atau hipersensitivitas. 
OMEGDIAR,"3,500.00",BEBAS,Obat yang digunakan untuk mengatasi diare nonspesifik atau diare yang umum terjadi bukan disebabkan oleh masalah spesifik di saluran pencernaan.
OMENEURON,"6,000.00",BEBAS,Berfungsi memacu/membantu metabolisme syaraf non-aktif atau rusak dan anti anemia.
OMEGAVIT,"5,000.00",BEBAS,Omegavit digunakan untuk pasien yang memiliki indikasi kekurangan zat besi dan mineral dan membantu menambah darah.
OBAT CACING,"1,250.00",BEBAS,"Obat ini bermanfaat untuk mengobati infeksi cacing yang hidup di dalam aliran darah, saluran pencernaan, atau hati."
OSTEOKOM,"8,000.00",BEBAS,"Merupakan suplemen yang mengandung Glucosamine, Chondroitin, Methylsulfonylmethane, vitamin dan beberapa mineral. Suplemen ini digunakan untuk membantu memelihara kesehatan tulang dan sendi."
OMEPROS  60 CAP,"225,000.00",BEBAS,"Membantu mencegah serangan jantung, mengurangi kadar kekentalan darah, meningkatkan kadar kolestrol HDL, membantu menurunkan tekanan darah, memenuhi nutrisi otak, meningkatkan daya tahan tubuh, menurunkan kadar kolestrol LDL dan kadar trigliserida darah, membantu pencegahan penyakit Alzheimer"
OSKADON,"2,500.00",BEBAS,"OSKADON adalah obat yang di gunakan sebagai penurun demam dan pereda nyeri seperti sakit gigi, sakit kepala dan nyeri ringan lainnya."
OXICOBAL ,"10,000.00",RESEP DOKTER,"Oxicobal adalah obat yang mengandung mecobalamin untuk mengatasi gejala neuropati perifer, seperti kesemutan, mati rasa, dan nyeri pada jari, lengan, tangan, hingga kaki."
OCUSON,"25,000.00",RESEP DOKTER,OCUSON digunakan untuk mengobati kasus-kasus alergi dan inflamasi yang membutuhkan terapi dengan kortikosteroid.
OSTEOR ,"7,000.00",BEBAS,Osteor merupakan suplemen penunjang dalam memelihara kesehatan persendian dan untuk penderita Osteoarthritis.
OMENEURON,"5,000.00",BEBAS,Berfungsi memacu/membantu metabolisme syaraf non-aktif atau rusak dan anti anemia.
OMEGZOLE,"9,000.00",RESEP DOKTER,"Omegzole merupakan obat yang digunakan untuk mengatasi infeksi akibat jamur, khususnya infeksi candida pada vagina, mulut, tenggorokan, dan aliran darah."
OXYVIT,"3,500.00",BEBAS,"Bermanfaat membantu memenuhi kebutuhan vitamin A, vitamin C, dan vitamin E."
OMEGESIC,"6,000.00",RESEP DOKTER,"Meredakan nyeri: sakit kepala, sakit gigi, sakit sewaktu menstruasi, neuralgia, lumbago dan nyeri otot."
OSTEOR PLUS,"13,000.00",BEBAS,Osteor Plus digunakan untuk mengatasi rasa nyeri akibat peradangan sendi. Osteor Plus juga dapat di gunakan untuk menjaga kesehatan sendi.
OSKADON SP,"2,750.00",BEBAS,"Oskadon bermanfaat untuk meredakan sakit kepala, sakit gigi, nyeri otot, dan pegal linu, serta menurunkan demam."
OTEDE ,"7,500.00",RESEP DOKTER,"Otede dapat digunakan sebagai antiemetik, rinitis alergi, urtikaria (gatal-gatal biduran) dan hay fever."
ORALAX,"5,000.00",BEBAS,Penyembuhan penyakit diare karena cairan tubuh yang hilang secara berlebihan melalui feses dan muntah.
PANTOPRAZOLE,"9,000.00",RESEP DOKTER,Pantoprazole adalah jenis obat yang digunakan untuk mengobati masalah lambung dan kerongkongan. 
PLEETAL SR,"20,000.00",RESEP DOKTER,Merupakan obat untuk melebarkan pembuluh darah dan menurunkan aktivitas penggumpalan oleh trombosit di dalam pembuluh darah.
PANVITON ,"8,500.00",BEBAS,"Merupakan suplemen yang digunakan untuk memelihara stamina tubuh, menambah nafsu makan, menjaga kesehatan, menambah darah, memenuhi kebutuhan vitamin dan mineral pada tubuh."
PAGODA PASTILES,"6,000.00",BEBAS,"Permen dengan kandungan licorice, minyak peppermint, dan minyak adas manis. Kombinasi bahan-bahan tersebut dapat membantu melegakan tenggorokan, serta memberikan aroma harum dan sensasi dingin di mulut."
PAGODA SALEP,"7,500.00",BEBAS,Pagoda salep adalah obat kulit yang digunakan untuk mengatasi penyakit kulit yang disebabkan oleh jamur atau bakteri
PAMOL SUP,"25,000.00",RESEP DOKTER,"Obat yang di gunakan sebagai penurun demam dan pereda nyeri seperti sakit kepala, sakit gigi dan nyeri ringan."
PANADOL FLU BATUK,"17,000.00",BEBAS,"Panadol Flu & Batuk bermanfaat untuk meredakan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat, dan bersin-bersin yang disertai batuk tidak berdahak. "
PANADOL BIRU,"12,500.00",BEBAS,"Panadol Biru bermanfaat untuk meredakan nyeri, seperti sakit kepala, sakit gigi, dan nyeri otot, serta menurunkan demam."
PANADOL ANAK,"17,500.00",BEBAS,Panadol Anak Tablet Kunyah untuk meredakan demam secara efektif bagi anak usia 2-12 tahun.
PARAMEX FB 4,"3,000.00",BEBAS,"PARAMEX merupakan obat dengan kandungan Paracetamol, Propyphenazone, Caffeine, Dexchlorpheniramine maleate. Obat ini dapat digunakan untuk meringankan sakit kepala dan sakit gigi."
PARAMEX NYERI OTOT,"3,000.00",BEBAS,"Obat ini digunakan untuk mengatasi kondisi seperti menurunkan demam, meredakan sakit kepala, sakit gigi, sakit pada telinga, migrain, nyeri haid, nyeri akibat batu ginjal, nyeri pasca operasi, nyeri otot dan sendi"
PANADOL EXTRA,"14,000.00",BEBAS,PANADOL EXTRA merupakan obat dengan kandungan Paracetamol dan Caffeine. Obat ini dapat digunakan untuk meringankan sakit kepala dan sakit gigi.
PARAMEX 4,"3,500.00",BEBAS,Obat ini dapat digunakan untuk meringankan sakit kepala dan sakit gigi.
PARATUSIN ,"17,000.00",BEBAS,"Obat ini digunakan untuk meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk."
PARATUSIN SYR,"37,500.00",BEBAS,"Obat ini dapat digunakan untuk meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk."
PEHACAIN,"5,000.00",RESEP DOKTER,"Pehacain Injeksi 2 ml digunakan untuk anestesi lokal atau regional, blok saraf, serta anestesi epidural dan kaudal."
PEHAMOXIL FORTE,"5,000.00",RESEP DOKTER,Pehamoxil dapat digunakan pada pasien yang mengalami: Infeksi saluran bilier (menyebabkan penyumbatan saluran empedu) Gonore (kencing nanah) tanpa komplikasi.
PHARMAMOX,"5,000.00",RESEP DOKTER,"Obat ini digunakan untuk infeksi yang disebabkan oleh strain-strain bakteri yang peka spt Staphylococcus bukan penghasil penisilinase, Streptococcus, E.Coli, H.Influenzae, Streptococcus Pneumoniae, Streptococcus Faecalis, P.mirabilia dan N.Gonorrheae (bukan penghasil penisilinase) pada penyakit infeksi kulit"
PHAROLIT NOVELL,"2,500.00",BEBAS,PHAROLIT merupakan bubuk oralit pengganti cairan tubuh yang hilang akibat diare. Obat ini digunakan untuk mencegah dan mengobati dehidrasi akibat diare/ mencret/ muntaber.
PILKITA 2,"2,500.00",RESEP DOKTER,"PIL KITA merupakan kaplet herbal yang berkhasiat untuk membantu menyegarkan badan dan memelihara kesehatan, memperbaiki nafsu makan, meredakan pegal linu, nyeri akibat encok, dan meredakan sakit pinggang."
PIPET DROP,"5,000.00",BEBAS,PIPET DROP adalah alat yang digunakan untuk mengambil cairan dan diteteskan sehingga cairan dapat mudah digunakan/dikonsumsi.
PRIMPERAN INJ,"15,000.00",RESEP DOKTER,Primperan adalah obat yang mengandung metoclopramide HCl. Obat ini digunakan untuk mengatasi kondisi tertentu dari lambung dan usus.
PLANTACID FORTE,"11,000.00",BEBAS,"PLANTACID FORTE TABLET merupakan obat yang mengandung Aluminium hidroksida, Magnesiun hidroksida dan Simetikon. Obat ini digunakan untuk mengatasi gangguan pada saluran pencernaan seperti gastritis, perut kembung, maag, dispepsia, hiatus hernia, tukak lambung dan tukak usus duabelas jari."
PARACETAMOL IFITAMOL POT,"20,000.00",BEBAS,"Ifitamol berfungsi sebagai pereda nyeri ringan sampai sedang, termasuk sakit kepala, nyeri haid, dan sakit gigi."
PROSTAKUR,"30,000.00",BEBAS,Membantu memelihara kesehatan prostat.
PARACETAMOL INFUS QUANTUM,"25,000.00",BEBAS,Terapi jangka pendek untuk demam dan nyeri derajat ringan-sedang.
PIROXICAM,"3,500.00",RESEP DOKTER,"Obat ini digunakan sebagai terapi simptomatik rheumatoid arthitis, osteoarthritis, ankilosing spondilitis, gangguan muskuloskeletal akut dan gout akut."
PYFATON,"4,000.00",BEBAS,Multivitamin yang dapat meningkatkan daya tahan tubuh.
PYRICEF,"75,000.00",RESEP DOKTER,"Mengatasi infeksi saluran pernafasan, saluran kemih dan kelamin serta infeksi kulit dan jaringan lunak."
PERMETHRIN,"35,000.00",RESEP DOKTER,Permethrin adalah obat topikal yang digunakan untuk mengobati infeksi kulit skabies yang disebabkan oleh Tungau (mite) Sarcoptes scabiei.
POLDAN MIG,"4,000.00",BEBAS,"Obat ini termasuk golongan obat bebas yang mengandung Paracetamol, asam asetilsalisilat, kafein yang diindikasikan untuk meredakan sakit kepala sedang dan migrain."
PHENACOLD EXPECT SYR,"12,000.00",BEBAS,Phenacold Expectorant adalah sediaan obat dalam bentuk sirup yang diproduksi oleh Caprifarmindo Labs Indonesia. Phenacold Expectorant digunakan untuk meredakan batuk berdahak akibat reaksi alergi.
PULAREX,"3,500.00",BEBAS,"Pularex adalah sediaan obat dengan kandungan Attapulgite yang berguna untuk mengatasi diare dengan cara memperlambat gerakan usus besar, sehingga usus dapat menyerap lebih banyak air dan feses (tinja) menjadi lebih padat."
PARAFLU,"5,000.00",BEBAS,"Digunakan untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk."
PAMOL,"8,000.00",BEBAS,"PAMOL merupakan obat yang di gunakan sebagai penurun demam dan pereda nyeri seperti sakit kepala , sakit gigi dan nyeri ringan."
PARACETAMOL TRIMAN,"2,500.00",BEBAS,"PARACETAMOL TRIMAN 500MG CAPL 100S memiliki kandungan bahan aktif Paracetamol yang bekerja dengan cara mengurangi kadar prostaglandin di dalam tubuh, sehingga tanda peradangan seperti demam dan nyeri akan berkurang. Obat ini digunakan untuk meringankan rasa sakit seperti sakit kepala, sakit gigi serta menurunkan demam."
PAPAVERIN 40mg NOVA,"4,500.00",RESEP DOKTER,"Papaverin merupakan obat generik produksi Kimia Farma yang digunakan untuk meredakan kejang atau spasme pada otot-otot polos yang mempengaruhi motilitas saluran pencernaan, termasuk nyeri pada dada, masalah sirkulasi, dan serangan jantung."
PANTOPRAZOLE 40mg NOVELL,"12,000.00",RESEP DOKTER,"Pantoprazole 40 mg bermanfaat untuk meredakan keluhan akibat peningkatan asam lambung, seperti nyeri perut, heartburn, atau kesulitan menelan."
PARACETAMOL 500MG RAMA,"2,500.00",RESEP DOKTER,"PARACETAMOL RAMA 500MG CAPL 100S memiliki kandungan bahan aktif Paracetamol yang bekerja dengan cara mengurangi kadar prostaglandin di dalam tubuh, sehingga tanda peradangan seperti demam dan nyeri akan berkurang."
PROPOLIS MJS NATURE,"60,000.00",BEBAS,"MENGOBATI LUKA DAN ANTI NYERI Dari senyawa khusus yang disebut pinocembrin, sebuah kandungan yang berfungsi sebagai antiradang & antimikroba."
PLETAAL 100mg,"17,000.00",RESEP DOKTER,"Pletaal merupakan obat yang digunakan untuk terapi sistemik khususnya mengurangi gejala dari klaudikasio intermiten yaitu gejala nyeri otot yang terjadi pada aktivitas ringan (nyeri, kram, mati rasa atau rasa lelah)."
PIYENCHIN,"17,500.00",BEBAS,Obat tetes mata dan hidung yang digunakan untuk mengatasi berbagai masalah
PENLIGHT GC,"30,000.00",BEBAS,"Senter medis berbentuk pulpen yang digunakan untuk memeriksa pasien, terutama mata, telinga, dan hidung."
PHARMATON VIT,"30,000.00",BEBAS,"Pharmaton Vit merupakan varian Pharmaton yang mengandung tambahan Selenium yang dapat meningkatkan daya tahan dan kesehatan tubuh, termasuk dalam masa penyembuhan."
PRIXAL 60ML,"85,000.00",BEBAS,Obat ini diindikasikan untuk mual & muntah akut serta dispepsia fungsional.
PARANERVION,"10,000.00",BEBAS,"Paranervion merupakan obat pereda nyeri dan vitamin neurotropik dengan kandungan Paracetamol, Vitamin B1, Vitamin B6, Vitamin B12, yang dapat digunakan untuk mengurangi rasa nyeri karena neuritis dan neuralgia."
PECTORIN 120ML,"13,500.00",BEBAS,"Segala macam batuk-batuk karena pilek,influenza,bronchitis,astma,kebanyakan merokok dsb,sebagai expectorantia."
POLOFAR PLUS,"3,500.00",RESEP DOKTER,"Polofar Plus adalah obat yang diproduksi oleh Ifars. Obat ini mengandung Dexamethasone dan Dexchlorpheniramine maleate yang diindikasikan untuk meredakan reaksi alergi pada mata, kulit dan pernafasan."
POLYSILANE 100ML,"23,000.00",BEBAS,"Obat ini digunakan untuk mengurangi gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, tukak usus 12 jari, dengan gejala-gejala seperti mual, nyeri lambung, nyeri ulu hati, kembung dan perasaan penuh pada lambung."
PROCOLD FLU,"5,500.00",BEBAS,"Digunakan untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin."
PRODERMIS 5GR,"7,500.00",RESEP DOKTER,Prodermis berfungsi untuk mengatasi peradangan yang disertai dengan infeksi kulit yang disebabkan oleh bakteri yang responsif terhadap kortikosteroid.
PROMAG,"9,000.00",BEBAS,"PROMAG dalam bentuk tablet dalam blister modern dengan hydrotalcite bekerja cepat atasi sakit maag, menetralkan asam lambung dan melindungi lebih lama."
TROPIGESIC,"18,000.00",BEBAS,"Obat ini digunakan untuk mengatasi demam dan sebagai perda nyeri seperti sakit kepala, sakit gigi dan nyeri ringan lainnya."
PHENYTOIN,"1,500.00",RESEP DOKTER,Obat untuk mengendalikan kejang pada penderita epilepsi.
PIRALEN 10MG,"10,000.00",RESEP DOKTER,"PIRALEN merupakan obat dengan kandungan Metoclopramide HCl dalam bentuk tablet. Obat ini digunakan untuk gangguan saluran cerna seperti mual, muntah, akibat intoleransi terhadap obat-obat tertentu seperti digitalis, antibiotik, antimitotik, PAS, ethionamide, morphin, codein dan lain-lain."
PO CHAI PILLS,"60,000.00",BEBAS,"Meredakan demam, muntah, sakit perut, masuk angin dan gangguan pencernaan yg lain , Meredakan rasa mabuk, keracunan makanan , Mengurangi frekuensi buang air besar dan memadatkan tinja "
PRORIS,"10,000.00",BEBAS,"Proris merupakan obat dengan kandungan bahan aktif ibuprofen 200 mg, yang dapat menurunkan demam pada anak-anak, dan meringankan nyeri ringan sampai sedang, yang disebabkan oleh sakit gigi, sakit kepala, nyeri setelah operasi, gejala nyeri ringan sampai sedang pada penyakit rematik tulang sendi dan non sendi"
PROMAG DOUBLE ACTION,"15,000.00",BEBAS,Promag Double Action bekerja mengatasi gejala-gejala kelebihan asam lambung melalui dua mekanisme. Antasida bekerja dengan menetralkan asam lambung dan Famotidin bekerja menghentikan produksi asam lambung.
POLYCROL FORTE,"8,000.00",BEBAS,"Obat ini digunakan untuk mengobati gangguan pada saluran pencernaan seperti gastritis, perut kembung, maag, dispepsia, hiatus hernia, tukak lambung dan usus duabelas jari."
PRIMADOL,"17,500.00",RESEP DOKTER,"PRIMADOL merupakan obat yang digunakan sebagai penurun demam,mengobati migren dan pereda nyeri seperti sakit kepala, sakit gigi dan nyeri ringan lainnya."
PRIMAVON,"8,000.00",RESEP DOKTER,"Primavon adalah obat antibiotik dengan kandungan trimethorpim dan sulfametoxazole yang bermanfaat untuk mengobati infeksi pada saluran pernapasan, telinga, dan kandung kemih."
PRITAGESIC,"8,000.00",RESEP DOKTER,"PRITAGESIC KAPLET merupakan obat yang berguna untuk menghilangkan rasa sakit yang disebabkan oleh neuritis dan neuralgia, terutama pada keadaan rasa sakit yang berat"
PHENZACOL,"5,000.00",BEBAS,"Phenzacol digunakan untuk mengatasi flu, seperti demam, hidung tersumbat, sakit kepala yang disertai dengan batuk berdahak."
PRENAMIA,"7,500.00",BEBAS,"Prenamia digunakan untuk membantu memenuhi kebutuhan vitamin dan mineral, serta mencegah anemia selama masa kehamilan dan menyusui."
PROCUR PLUS,"9,000.00",BEBAS,Procur Plus merupakan sejenis suplemen untuk menunjang kesehatan hati
PROVITAL PLUS,"40,000.00",BEBAS,"Suplemen ini digunakan untuk membantu memenuhi kebutuhan vitamin dan mineral pada kondisi tubuh yang menurun pada saat bekerja keras, berolahraga, dan membantu memelihara kesehatan tubuh."
PYCOSTEIN,"17,500.00",RESEP DOKTER,"Pycostein adalah obat yang mengandung zat aktif Acetyl Cysteine, obat ini digunakan untuk mengencerkan dahak."
PIMNALGIN ,0.00,RESEP DOKTER,"Pimnalgin mengandung zat aktif Metamizole yang digunakan untuk menurunkan demam, dan meringankan nyeri, seperti nyeri perut saat haid, sakit kepala, sakit gigi."
PROBIOTIN,"12,500.00",RESEP DOKTER,"Pengobatan infeksi berat yang disebabkan oleh bakteri Gram positif yang sensitif terhadap Klindamisin terutama Staphylococcus, Streptococcus (kecuali Streptococcus faecalis) dan Pneumococcus."
PROVELYN 50MG,"13,500.00",RESEP DOKTER,"PROVELYN 50MG digunakan meredakan nyeri neuropati perifer pada pasien dewasa, terapi tambahan pada kejang parsial dengan atau tanpa generalisasi sekunder pada pasien dewasa, gangguan kecemasan umum pada pasien dewasa dan mengurangi nyeri pada fibromialgia (penyakit yang ditandai oleh rasa nyeri di sekujur tubuh"
PROMAVIT,"5,000.00",BEBAS,Promavit merupakan Suplemen multivitamin dan mineral untuk ibu hamil.
PEPZOL 20MG,"15,000.00",RESEP DOKTER,"Membantu menurunkan jumlah produksi asam di lambung, sehingga dapat digunakan untuk mengobati tukak lambung & duodenum, refluks esofagitis, sindrom Zollinger-Ellison"
PRIMAVON 60ML,"8,500.00",RESEP DOKTER,"Obat ini digunakan untuk mengobati berbagai jenis infeksi bakteri meliputi infeksi saluran pernafasan, saluran kemih, dan saluran pencernaan."
PYRAZINAMIDE 500MG PROMED,"5,000.00",RESEP DOKTER,Infeksi tuberkulosis atau TBC.
PREGABALIN 75MG BETA,"50,000.00",RESEP DOKTER,"PREGABALIN digunakan untuk mengobati nyeri neuropatik (nyeri berkepanjangan akibat saraf yang rusak), dan fibromyalgia (kondisi yang ditandai dengan nyeri di sekujur tubuh disertai kelelahan dan gangguan tidur, ingatan atau suasana hati)."
QUANTIDEX 60ML,"9,000.00",BEBAS,"Mengurangi gejala gangguan pada saluran napas atas: rinitis alergi, rinitis vasomotorik."
QUIDEX 500MG,"15,000.00",RESEP DOKTER,"Quidex digunakan untuk menyembuhkan berbagai macam infeksi bakteri, seperti saluran kemih, infeksi pada saluran pencernaan, infeksi pada mata, dan infeksi menular seksual"
QUIXX THOAT SPRAY KIDS,"70,000.00",BEBAS,QUIXX SORE THROAT SPRAY KIDS 20ML berfungsi untuk mengatasi masalah tenggorokan pada anak diatas 3 tahun. 
RESIDA LIQUID,"10,000.00",BEBAS,"Mengatasi gangguan pada kulit akibat jamur seperti panu, kadas dan kurap."
RECOVIT 100ML,"13,500.00",BEBAS,"Vitamin suplemen yang digunakan untuk masa pertumbuhan, kekurangan nutrisi atau selama dalam masa penyembuhan."
RANITIDINE 150MG HJ,"2,500.00",RESEP DOKTER,"Obat ini digunakan untuk tukak lambung dan tukak duodenum, refluks esofagitis, dispepsia episodik kronis, tukak akibat AINS, tukak duodenum karena H.pylori, sindrom Zollinger-Ellison, kondisi lain dimana pengurangan asam lambung. "
RECO TETES MATA,"12,000.00",RESEP DOKTER,"Reco Tetes Mata bermanfaat untuk mengobati konjungtivitis bakterial, yaitu infeksi pada mata yang disebabkan oleh bakteri."
RECODRYL 15ML INJ,"7,500.00",RESEP DOKTER,Antihistamin yang digunakan untuk mengobati reaksi alergi ringan terutama ketika penggunaan antihistamin bentuk oral tidak memungkinkan.
REDOXON,"45,000.00",BEBAS,Suplemen yang mengandung kombinasi vitamin dan mineral yang berguna sebagai suplementasi Vitamin C dan Zinc untuk membantu memelihara daya tahan tubuh.
RENAPAR ,"3,500.00",RESEP DOKTER,Renapar merupakan suplemen mineral yang digunakan untuk memberikan asupan kalium dan magnesium bagi penderita penyakit jantung atau hati.
RENOVIT 4 S,"12,000.00",BEBAS,Membantu memenuhi kebutuhan multivitamin dan mineral.
RHEUMASON 18GR,"7,500.00",BEBAS,"Balsem yang dapat membantu meredakan nyeri otot, nyeri pinggang, keseleo, dan memar."
RHINOS JR SYR,"65,000.00",BEBAS,Meringankan bersin-bersin dan hidung tersumbat karena pilek.
RHINOS SR,"9,000.00",BEBAS,"Meredakan gejala yang berhubungan dengan rinitis alergi misalnya bersin, hidung tersumbat, rinore, pruritus & lakrimasi."
ROVERTON,"3,000.00",RESEP DOKTER,Obat batuk yang mengandung Ambroxol hydrochloride.
RAMAGESIC 60ML,"6,000.00",BEBAS,"Ramagesic adalah obat yang mengandung zat aktif Paracetamol, digunakan untuk menurunkan demam, dan meredakan nyeri, seperti sakit gigi, nyeri perut saat haid, dan sakit kepala."
RENALYTE 200ML,"27,500.00",BEBAS,RENALYTE adalah minuman isotonik atau larutan elektrolit yang di gunakan untuk menanggulangi dehidrasi ringan sampai sedang pada bayi dan anak-anak akibat diare.
RANACID FORTE,"3,500.00",BEBAS,Menangani gejala akibat produksi asam lambung yang berlebih.
RAMABION,"3,500.00",BEBAS,Suplemen yang digunakan untuk mengatasi anemia.
RANCUS,"5,000.00",RESEP DOKTER,"Rancus dapat digunakan untuk mengobati tukak usus duabelas jari, hipersekresi patologi seperti sindroma zollinger-ellison."
RANIGEN,400.00,RESEP DOKTER,"Digunakan untuk menghilangkan gejala dan penyakit yang disebabkan meningkatnya produksi asam lambung seperti tukak lambung, tukak usus 12 jari, sakit maag, nyeri ulu hati serta gangguan pencernaan."
RETIVIT,"50,000.00",BEBAS,Retivit dapat digunakan sebagai suplemen untuk menjaga kesehatan mata.
REGUMEN,"6,000.00",RESEP DOKTER,"Obat ini digunakan untuk pendarahan disfungsional, amenore primer dan sekunder, sindrom pra-menstruasi, mastopati siklik, pengaturan waktu menstruasi, endometriosis."
RHINOFED,"3,500.00",RESEP DOKTER,"Obat ini digunakan untuk mengatasi gejala Rhinitis, baik rhinitis alergi maupun rhinitis vasomotor, mengurangi peradangan yang terjadi pada mukosa hidung pada saat mengalami rhinitis."
RETIVIT PLUS,"8,500.00",BEBAS,Retivit adalah suplemen yang diproduksi Sanbe Farma untuk membantu memelihara kesehatan mata.
REMABREX 100MG,"8,000.00",RESEP DOKTER,"Obat ini dapat digunakan untuk meredakan gejala dan tanda OA (Osteoarthritis), RA (Rheumatoid Arthritis), dan AS (Ankylosing Spondylititis), serta sebagai pengobatan jangka pendek nyeri akut pasca-bedah, atau cedera musculoskeletal."
RAOST 50MG,"6,000.00",RESEP DOKTER,"Raost digunakan untuk membantu mengurangi nyeri, gangguan inflamasi (radang), dismenore (nyeri haid), nyeri ringan sampai sedang pasca operasi khususnya ketika pasien juga mengalami peradangan."
REBAMIPIDE 100 MG,"25,000.00",RESEP DOKTER,REBAMIPIDE 100 MG TABLET merupakan obat maag yang biasa digunakan untuk mengobati tukak lambung dan gastritis.
RIFASTAR ,"6,250.00",RESEP DOKTER,"Obat ini digunakan untuk mengobati infeksi bakteri Mycobaterium tuberculosis (TBC), Mycobacterium kansasii, dan Mycobacterium xenopi."
STAZOL,"16,000.00",RESEP DOKTER,Stazol berfungsi untuk mengatasi klaudikasio intermiten (gejala yang paling sering muncul pada penyakit arteri perifer).
SANPRIMA,"14,000.00",RESEP DOKTER,"Sanprima Forte merupakan obat antibiotika kombinasi yang digunakan untuk mengobati infeksi akibat bakteri pada saluran pernapasan, pencernaan, dan saluran kemih."
SAMTACID,"3,500.00",BEBAS,"Mengurangi nyeri lambung yang disebabkan kelebihan asam lambung debgan gejala mual, perih dan rasa kembung."
SALICYL KF,"9,000.00",BEBAS,Bedak Salicyl Kimia Farma bermanfaat untuk mengatasi gatal-gatal pada kulit karena biang keringat atau gangguan kulit lain yang bukan infeksi.
SAMMOXIN 500MG,"5,000.00",RESEP DOKTER,"Sammoxin digunakan untuk mengatasi infeksi paru, pneumonia, infeksi tenggorokan, infeksi telinga, infeksi hidung, infeksi kulit, infeksi saluran kemih, dan infeksi akibat H. pylori."
SULTRIMIX ,"5,000.00",RESEP DOKTER,"Digunakan untuk mengobati infeksi, seperti eksaserbasi akut atau sering disebut juga Penyakit Paru Obstruksi Kronis (PPOK), bronkitis kronis , otitis media akut (infeksi telinga tengah), infeksi saluran kemih, pneumonia jirovecii pneumocystis (PJP) atau infeksi peradangan dan penumpukan cairan pada paru-paru."
SIMARC 2MG,"15,000.00",RESEP DOKTER,Bermanfaat untuk mencegah dan mengobati penggumpalan darah pada kondisi deep vein thrombosis (DVT) atau emboli paru.
SANGOBION,"22,000.00",RESEP DOKTER,"Produk suplemen yang umumnya mengandung kombinasi zat besi, vitamin C, vitamin B12, dan asam folat. Kombinasi ini dirancang untuk membantu meningkatkan kadar zat besi dalam tubuh dan mendukung kesehatan umum."
SANMOL DROPS ,"25,000.00",BEBAS,SANMOL DROPS merupakan obat dengan kandungan Paracetamol. Obat ini digunakan untuk meringankan rasa nyeri dan menurunkan demam.
SANTIBI 500MG,"1,500.00",RESEP DOKTER,Obat dengan kandungan Ethambutol hydrochloride. Produk ini dapat digunakan untuk Tuberkulosis paru.
SISTENOL 10TAB,"37,500.00",RESEP DOKTER,SISTENOL adalah obat yang di gunakan sebagai penurun demam yang di sertai batuk pada gejala influenza.
SCABIMITE 10GR,"47,500.00",RESEP DOKTER,Obat topikal yang mengandung Permethrin yang digunakan untuk mengobati infeksi kulit skabies yang disebabkan oleh Tungau (mite) Sarcoptes scabiei.
SCOPMA 10MG,"10,000.00",RESEP DOKTER,Obat yang di gunakan untuk mengobati nyeri perut atau pencernaan yang tergolong dalam obat keras.
SUMAGESIC 600MG,"3,000.00",BEBAS,"Sumagesic merupakan obat yang dapat digunakan untuk meringankan rasa sakit pada sakit kepala, sakit gigi, dan menurunkan demam."
SANTAGESIK 60ML,"45,000.00",RESEP DOKTER,Obat yang bermanfaat sebagai antinyeri sekaligus antidemam.
SANAFLU,"3,500.00",BEBAS,"Obat untuk mengatasi gejala flu, obat ini mengandung zat aktif paracetamol dan phenylpropanolamine HCl. Mengatasi gejala flu, seperti demam, sakit kepala, dan hidung tersumbat, serta meringankan bersin-bersin."
SUPRABIOTIC,"10,000.00",RESEP DOKTER,Mengobati berbagai macam infeksi termasuk jerawat.
SPASMINAL,"12,500.00",RESEP DOKTER,SPASMINAL merupakan obat untuk mengobati nyeri yang timbul pada keadaan kolik.
SOLDEXTAM,"3,500.00",RESEP DOKTER,Soldextam Kaplet bermanfaat untuk meredakan gejala alergi dan peradangan.
